cost_center_id,date_key,expense_category,actual_amount,budget_amount,is_test_data
CC001,20250101,Salaries,245000.00,240000.00,False
CC001,20250101,Travel,18000.00,15000.00,False
CC001,20250101,Software,32000.00,30000.00,False
CC002,20250101,Salaries,180000.00,185000.00,False
CC002,20250101,Consulting,45000.00,40000.00,False
CC003,20250101,Salaries,310000.00,300000.00,False
CC003,20250101,Marketing,72000.00,80000.00,False
CC001,20250201,Salaries,247000.00,240000.00,False
CC001,20250201,Travel,12000.00,15000.00,False
CC002,20250201,Salaries,182000.00,185000.00,False
CC002,20250201,Consulting,51000.00,40000.00,False
CC003,20250201,Salaries,315000.00,300000.00,False
CC003,20250201,Marketing,68000.00,80000.00,False
